'Communes';'Codes_Insee';'NB_Allocataires';'ALL_PAJE';'ALL_PRIM';'ALL_BASEP';'ALL_CMG';'ALL_CMG_ASMA';'ALL_CMG_DOM';'ALL_CMG_A';'ALL_Clca_Colca'
LA TRANCLIERE;01425;27;5;;;;;;;
TREFFORT-CUISIAT;01426;305;84;;67;42;;;;22
TREVOUX;01427;1144;281;;218;116;108;;5;80
VALEINS;01428;19;5;;;;;;;
VANDEINS;01429;94;24;;18;19;;;;
VARAMBON;01430;67;18;;;8;;;;
VAUX-EN-BUGEY;01431;173;50;;40;25;;;;16
VERJON;01432;32;11;;;;;;;
VERNOUX;01433;44;21;;;8;;;;10
VERSAILLEUX;01434;55;28;;;20;;;;13
VERSONNEX;01435;159;30;;20;10;;;;11
VESANCY;01436;30;6;;;;;;;
VESCOURS;01437;30;16;;;8;;;;6
VESINES;01439;11;5;;;;;;;
VIEU-D'IZENAVE;01441;92;34;;29;15;;;;17
VIEU;01442;32;13;;;8;;;;
VILLARS-LES-DOMBES;01443;689;169;;119;111;;;;40
VILLEBOIS;01444;169;46;;35;25;;;;10
VILLEMOTIER;01445;92;28;;22;19;;;;11
VILLENEUVE;01446;206;58;;43;47;;;;14
VILLEREVERSURE;01447;186;47;;39;16;;;;17
VILLES;01448;30;6;;;;;;;
VILLETTE-SUR-AIN;01449;95;34;;22;24;;;;9
VILLIEU-LOYES-MOLLON;01450;514;191;;126;130;125;;7;47
VIRIAT;01451;816;200;;165;73;;;;52
VIRIEU-LE-GRAND;01452;207;29;;23;10;;;;
VIRIEU-LE-PETIT;01453;97;7;;;;;;;
VIRIGNIN;01454;208;44;;33;17;;;;17
VONGNES;01456;5;;;;;;;;
VONNAS;01457;470;97;;81;45;;;;37
ABBECOURT;02001;76;21;;;8;;;;
ACHERY;02002;78;29;;;15;;;;7
ACY;02003;133;36;;24;27;;;;
AGNICOURT-ET-SECHELLES;02004;26;;;;;;;;
AGUILCOURT;02005;45;16;;8;;;;;
AISONVILLE-ET-BERNOVILLE;02006;37;;;;;;;;
AIZELLES;02007;12;;;;;;;;
AIZY-JOUY;02008;36;16;;8;;;;;
ALAINCOURT;02009;70;26;;;12;;;;6
ALLEMANT;02010;25;6;;;;;;;
AMBLENY;02011;141;50;;36;34;;;;10
AMBRIEF;02012;8;;;;;;;;
AMIFONTAINE;02013;45;18;;13;10;;;;
AMIGNY-ROUY;02014;112;28;;20;16;;;;11
ANCIENVILLE;02015;9;;;;;;;;
ANDELAIN;02016;31;8;;;;;;;
ANGUILCOURT-LE-SART;02017;37;12;;;;;;;
ANIZY-LE-CHATEAU;02018;340;71;;59;27;;;5;11
ANNOIS;02019;41;14;;;7;;;;
ANY-MARTIN-RIEUX;02020;65;18;;12;12;;;;
ARCHON;02021;12;;;;;;;;
ARCY-SAINTE-RESTITUE;02022;53;17;;;7;;;;
ARMENTIERES-SUR-OURCQ;02023;13;;;;;;;;
ARRANCY;02024;;;;;;;;;
ARTEMPS;02025;48;16;;;10;;;;
ARTONGES;02026;16;;;;;;;;
ASSIS-SUR-SERRE;02027;25;5;;;;;;;
ATHIES-SOUS-LAON;02028;369;108;;71;67;;;;22
ATTILLY;02029;51;18;;12;9;;;;
AUBENCHEUL-AUX-BOIS;02030;40;5;;;;;;;
AUBENTON;02031;111;31;;;6;;;;6
AUBIGNY-AUX-KAISNES;02032;36;8;;;;;;;
AUBIGNY-EN-LAONNOIS;02033;12;;;;;;;;
AUDIGNICOURT;02034;13;8;;;;;;;
AUDIGNY;02035;40;14;;9;7;;;;
AUGY;02036;15;5;;;;;;;
AULNOIS-SOUS-LAON;02037;202;62;;47;32;;;;16
LES AUTELS;02038;8;;;;;;;;
AUTREMENCOURT;02039;15;5;;;;;;;
AUTREPPES;02040;23;;;;;;;;
AUTREVILLE;02041;114;35;;26;16;;;;7
AZY-SUR-MARNE;02042;32;12;;;7;;;;
BAGNEUX;02043;11;;;;;;;;
BANCIGNY;02044;;;;;;;;;
BARENTON-BUGNY;02046;59;16;;11;8;;;;
BARENTON-CEL;02047;13;;;;;;;;
BARENTON-SUR-SERRE;02048;19;9;;;;;;;
BARISIS-AUX-BOIS;02049;87;36;;23;22;;;;8
BARZY-EN-THIERACHE;02050;44;20;;14;9;;;;5
BARZY-SUR-MARNE;02051;45;12;;;6;;;;
BASSOLES-AULERS;02052;16;;;;;;;;
BAULNE-EN-BRIE;02053;29;;;;;;;;
BAZOCHES-SUR-VESLES;02054;64;18;;;11;;;;6
BEAUME;02055;12;;;;;;;;
BEAUMONT-EN-BEINE;02056;24;9;;;;;;;
BEAUREVOIR;02057;258;41;;32;15;;;;10
BEAURIEUX;02058;139;40;;28;21;;;;7
BEAUTOR;02059;527;112;5;95;29;;;;20
BEAUVOIS-EN-VERMANDOIS;02060;26;10;;;;;;;
BECQUIGNY;02061;49;12;;;5;;;;
BELLEAU;02062;16;;;;;;;;
BELLENGLISE;02063;60;15;;10;7;;;;
BELLEU;02064;618;110;5;90;44;39;;5;18
BELLICOURT;02065;89;22;;;7;;;;5
BENAY;02066;20;8;;;;;;;
BERGUES-SUR-SAMBRE;02067;21;;;;;;;;
BERLANCOURT;02068;14;6;;;;;;;
BERLISE;02069;12;;;;;;;;
BERNOT;02070;61;20;;;10;;;;6
BERNY-RIVIERE;02071;71;22;;9;17;;;;
BERRIEUX;02072;19;10;;;;;;;
BERRY-AU-BAC;02073;79;26;;19;13;;;;7
BERTAUCOURT-EPOURDON;02074;82;26;;15;20;;;;
BERTHENICOURT;02075;24;6;;;;;;;
BERTRICOURT;02076;22;;;;;;;;
BERZY-LE-SEC;02077;46;6;;;;;;;
BESME;02078;27;15;;;7;;;;
BESMONT;02079;13;;;;;;;;
BESNY-ET-LOIZY;02080;45;15;;;8;;;;
BETHANCOURT-EN-VAUX;02081;95;16;;;7;;;;
BEUGNEUX;02082;16;7;;;;;;;
BEUVARDES;02083;95;25;;;13;;;;9
BEZU-LE-GUERY;02084;33;10;;;;;;;
BEZU-SAINT-GERMAIN;02085;152;51;;36;30;;;;12
BICHANCOURT;02086;141;39;;29;24;;;;7
BIEUXY;02087;;;;;;;;;
BIEVRES;02088;13;;;;;;;;
BILLY-SUR-AISNE;02089;125;34;;26;19;;;;5
BILLY-SUR-OURCQ;02090;25;9;;;;;;;
BLANZY-LES-FISMES;02091;11;6;;;;;;;
BLERANCOURT;02093;204;48;;37;18;;;;11
BLESMES;02094;56;12;;;;;;;
BOHAIN-EN-VERMANDOIS;02095;1311;214;6;198;26;;;;26
BOIS-LES-PARGNY;02096;22;7;;;;;;;
BONCOURT;02097;31;12;;;5;;;;
