Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
MONTAGNIEU;01255;69;23;;;11;6
MONTANGES;01257;34;6;;;;
MONTCEAUX;01258;154;62;;41;33;20
MONTCET;01259;82;24;;;14;10
LE MONTELLIER;01260;26;10;;;;
MONTHIEUX;01261;79;20;;12;12;9
MONTLUEL;01262;1224;375;6;294;151;102
MONTMERLE-SUR-SAONE;01263;559;157;;109;86;54
MONTRACOL;01264;141;51;;37;32;14
MONTREAL-LA-CLUSE;01265;621;133;;115;37;48
MONTREVEL-EN-BRESSE;01266;371;66;;50;34;19
NURIEUX-VOLOGNAT;01267;120;36;;28;23;12
MURS-ET-GELIGNIEUX;01268;25;5;;;;
NANTUA;01269;705;159;6;147;28;46
NATTAGES;01271;63;23;;18;16;12
NEUVILLE-LES-DAMES;01272;191;57;;48;23;15
NEUVILLE-SUR-AIN;01273;224;83;;59;46;25
LES NEYROLLES;01274;104;28;;;7;9
NEYRON;01275;307;87;;48;53;28
NIEVROZ;01276;199;62;;38;37;9
NIVOLLET-MONTGRIFFON;01277;12;5;;;;
ONCIEU;01279;12;;;;;
ORDONNAZ;01280;15;7;;;;
ORNEX;01281;351;85;;68;21;25
OUTRIAZ;01282;25;12;;;;
OYONNAX;01283;4737;994;22;898;174;325
OZAN;01284;87;28;;17;17;8
PARCIEUX;01285;155;42;;21;25;9
PARVES;01286;41;9;;;;
PERON;01288;153;38;;22;22;
PERONNAS;01289;842;162;;133;52;53
PEROUGES;01290;130;36;;28;18;14
PERREX;01291;96;30;;19;21;8
LE PETIT-ABERGEMENT;01292;11;5;;;;
PEYRIAT;01293;18;7;;;;
PEYRIEU;01294;101;30;;;14;11
PEYZIEUX-SUR-SAONE;01295;89;41;;28;29;11
PIRAJOUX;01296;39;12;;;;
PIZAY;01297;88;32;;21;26;9
PLAGNE;01298;12;6;;;;
LE PLANTAY;01299;57;19;;;9;7
LE POIZAT;01300;57;25;;;9;10
POLLIAT;01301;295;82;;63;40;20
POLLIEU;01302;18;;;;;
PONCIN;01303;265;74;;56;35;17
PONT-D'AIN;01304;439;113;;93;55;25
PONT-DE-VAUX;01305;425;77;;57;34;23
PONT-DE-VEYLE;01306;272;48;;41;26;11
PORT;01307;112;27;;22;11;8
POUGNY;01308;54;8;;;;
POUILLAT;01309;12;;;;;
PREMEYZEL;01310;134;7;;;;
PREMILLIEU;01311;;;;;;
PRESSIAT;01312;36;15;;;;
PREVESSIN-MOENS;01313;490;130;;101;33;25
PRIAY;01314;203;70;;41;38;23
PUGIEU;01316;22;8;;;;
RAMASSE;01317;29;6;;;;
RANCE;01318;78;19;;11;11;6
RELEVANT;01319;55;17;;10;11;
REPLONGES;01320;456;165;5;114;100;50
REVONNAS;01321;118;47;;28;31;16
REYRIEUX;01322;583;142;;96;73;49
REYSSOUZE;01323;129;41;;31;23;11
RIGNIEUX-LE-FRANC;01325;114;40;;25;26;13
ROMANS;01328;111;22;;16;12;5
ROSSILLON;01329;14;;;;;
RUFFIEU;01330;19;;;;;
SAINT-ALBAN;01331;22;8;;;;
SAINT-ANDRE-DE-BAGE;01332;88;27;;22;13;6
SAINT-ANDRE-DE-CORCY;01333;392;99;;60;68;24
SAINT-ANDRE-D'HUIRIAT;01334;71;23;;16;16;
SAINT-ANDRE-LE-BOUCHOUX;01335;44;14;;;9;6
SAINT-ANDRE-SUR-VIEUX-JONC;01336;138;44;;35;30;18
SAINT-BENIGNE;01337;156;54;;36;38;9
SAINT-BENOIT;01338;102;36;;26;18;11
SAINT-BERNARD;01339;151;39;;21;22;12
SAINT-BOIS;01340;13;;;;;
SAINT-CHAMP;01341;14;6;;;;
SAINTE-CROIX;01342;70;19;;12;10;6
SAINT-CYR-SUR-MENTHON;01343;229;86;;63;58;18
SAINT-DENIS-LES-BOURG;01344;659;148;;107;66;50
SAINT-DENIS-EN-BUGEY;01345;335;113;;74;59;24
SAINT-DIDIER-D'AUSSIAT;01346;112;40;;35;18;13
SAINT-DIDIER-DE-FORMANS;01347;213;57;;30;32;14
SAINT-DIDIER-SUR-CHALARONNE;01348;420;103;;72;61;28
SAINT-ELOI;01349;47;11;;6;5;
SAINT-ETIENNE-DU-BOIS;01350;307;88;;75;38;37
SAINT-ETIENNE-SUR-CHALARONNE;01351;210;79;;58;34;17
SAINT-ETIENNE-SUR-REYSSOUZE;01352;73;23;;;11;10
SAINTE-EUPHEMIE;01353;199;58;;31;35;17
SAINT-GENIS-POUILLY;01354;843;157;;130;35;38
SAINT-GENIS-SUR-MENTHON;01355;46;20;;12;14;7
SAINT-GEORGES-SUR-RENON;01356;26;8;;;;
SAINT-GERMAIN-DE-JOUX;01357;69;16;;;;8
SAINT-GERMAIN-LES-PAROISSES;01358;51;16;;;8;7
SAINT-GERMAIN-SUR-RENON;01359;18;7;;;;
SAINT-JEAN-DE-GONVILLE;01360;114;10;;;;
SAINT-JEAN-DE-NIOST;01361;169;49;;33;29;16
SAINT-JEAN-DE-THURIGNEUX;01362;97;34;;22;22;10
SAINT-JEAN-LE-VIEUX;01363;225;67;;51;34;20
SAINT-JEAN-SUR-REYSSOUZE;01364;96;27;;;13;10
SAINT-JEAN-SUR-VEYLE;01365;132;50;;44;24;18
SAINTE-JULIE;01366;135;57;;44;34;16
SAINT-JULIEN-SUR-REYSSOUZE;01367;108;44;;;18;16
SAINT-JULIEN-SUR-VEYLE;01368;99;32;;25;17;5
SAINT-JUST;01369;107;17;;12;8;7
SAINT-LAURENT-SUR-SAONE;01370;429;74;;64;24;21
SAINT-MARCEL;01371;184;56;;35;34;20
SAINT-MARTIN-DE-BAVEL;01372;54;18;;12;13;
SAINT-MARTIN-DU-FRENE;01373;136;36;;;7;17
SAINT-MARTIN-DU-MONT;01374;207;68;;47;49;19
SAINT-MARTIN-LE-CHATEL;01375;100;34;;23;25;7
SAINT-MAURICE-DE-BEYNOST;01376;637;150;;110;67;39
SAINT-MAURICE-DE-GOURDANS;01378;311;103;;58;71;30
SAINT-MAURICE-DE-REMENS;01379;92;41;;32;19;14
SAINT-NIZIER-LE-BOUCHOUX;01380;72;10;;;;
SAINT-NIZIER-LE-DESERT;01381;130;43;;33;27;14
SAINTE-OLIVE;01382;35;12;;;;
SAINT-PAUL-DE-VARAX;01383;258;68;;49;47;15
SAINT-RAMBERT-EN-BUGEY;01384;432;102;;84;36;20
SAINT-REMY;01385;126;34;;22;25;7
SAINT-SORLIN-EN-BUGEY;01386;141;54;;33;34;9
SAINT-SULPICE;01387;30;14;;;7;5
SAINT-TRIVIER-DE-COURTES;01388;150;34;;;9;13
SAINT-TRIVIER-SUR-MOIGNANS;01389;254;64;;46;38;25
SAINT-VULBAS;01390;127;35;;28;18;10
SALAVRE;01391;24;9;;;;
SAMOGNAT;01392;96;28;;12;22;
SANDRANS;01393;59;22;;15;14;8
SAULT-BRENAZ;01396;168;44;;37;16;13
SAUVERNY;01397;63;8;;;;
SAVIGNEUX;01398;170;59;;37;43;17
SEGNY;01399;92;14;;7;9;
SEILLONNAZ;01400;18;5;;;;
SERGY;01401;114;32;;19;18;7
SERMOYER;01402;74;22;;17;11;6
SERRIERES-DE-BRIORD;01403;201;52;;39;18;14
SERRIERES-SUR-AIN;01404;7;;;;;
SERVAS;01405;165;42;;33;18;15
SERVIGNAT;01406;19;6;;;;
SEYSSEL;01407;152;39;;33;16;9
SIMANDRE-SUR-SURAN;01408;89;23;;13;15;6
