Codes_Insee;Communes;RATIO_2A_FREQ_CRECHE;ENF_MOINS_3;ENF_3_6;CRECHE_PL_DISPO;NB_CRECHE;NB_SAGE;NB_PHARMA;NB_MATERNELLE;NB_ECOLE_ELEM;POP;LATITUDE;LONGITUDE
1135;CROZET;1;0;26;0;0;0;0;0;1;1,8;46.291751983211199;5.995356733143810
1136;CRUZILLES-LES-MEPILLAT;1;0;32;0;0;0;0;0;0;0,8;46.220739291059900;4.874880771396820
1138;CULOZ;0;0;110;30;1;0;1;1;1;2,9;45.856256366352802;5.783911471426110
1139;CURCIAT-DONGALON;1;0;22;0;0;0;0;0;0;0,5;46.488363742491202;5.162787418765730
1140;CURTAFOND;1;0;25;0;0;0;0;0;0;0,7;46.272830042140498;5.102621989185570
1141;CUZIEU;1;0;16;0;0;0;0;0;0;0,4;45.819649827172199;5.676064784385470
1142;DAGNEUX;0,8;20;216;25;2;0;1;1;2;4;45.853500309245199;5.072806236216350
1143;DIVONNE-LES-BAINS;0;0;122;46;1;1;2;1;3;7,9;46.375816610084698;6.115815095129120
1144;DOMMARTIN;1;0;43;0;0;0;0;0;1;0,8;46.336550485652303;4.998700376171820
1145;DOMPIERRE-SUR-VEYLE;1;0;44;0;0;0;0;0;1;1,2;46.067130417397799;5.216280672440570
1146;DOMPIERRE-SUR-CHALARONNE;1;0;19;0;0;0;0;0;0;0,4;46.141690501156098;4.901605966885950
1147;DOMSURE;0;0;11;9;1;0;0;0;0;0,5;46.424607932059999;5.293599513784290
1148;DORTAN;1;0;71;0;0;0;1;1;1;2,1;46.314062894805900;5.641776819917200
1149;DOUVRES;1;0;40;0;0;0;0;0;1;0,9;45.984318346684802;5.371972754666020
1150;DROM;1;0;7;0;0;0;0;0;1;0,2;46.220008553214399;5.368191418281020
1151;DRUILLAT;1;0;35;0;0;0;0;0;1;1,1;46.067471124623403;5.292919275672850
1152;ECHALLON;1;0;24;0;0;0;0;0;1;0,8;46.227467001248698;5.732935406075640
1153;ECHENEVEX;1;0;14;0;0;0;0;0;1;1,6;46.316197363862599;6.020129528774890
